time,omega_t,increment,path,H,lambda2,L,seed
285.0,-0.3826728463172912,-0.0034818709827959,0.7473466992378235,0.6,0.12,512,2026
286.0,-0.3781141638755798,-0.0120873060077428,0.7352594137191772,0.6,0.12,512,2026
287.0,-0.3759506046772003,-0.0005241892649792,0.7347351908683777,0.6,0.12,512,2026
288.0,-0.3797087669372558,-0.017092740163207,0.7176424860954285,0.6,0.12,512,2026
289.0,-0.3833014965057373,0.0007695042295381,0.7184119820594788,0.6,0.12,512,2026
290.0,-0.3792949020862579,0.0168526880443096,0.7352646589279175,0.6,0.12,512,2026
291.0,-0.3844361007213592,-0.0002151659864466,0.7350494861602783,0.6,0.12,512,2026
292.0,-0.3802208304405212,-0.0004328853683546,0.7346166372299194,0.6,0.12,512,2026
293.0,-0.3833653032779693,0.012099377810955,0.7467160224914551,0.6,0.12,512,2026
294.0,-0.3742206394672394,0.011610135436058,0.7583261132240295,0.6,0.12,512,2026
295.0,-0.3792662322521209,-0.0023068136069923,0.7560192942619324,0.6,0.12,512,2026
296.0,-0.3649935126304626,0.000433842127677,0.7564531564712524,0.6,0.12,512,2026
297.0,-0.3711017370223999,0.0087641151621937,0.7652173042297363,0.6,0.12,512,2026
298.0,-0.3740280568599701,0.0058616371825337,0.771078884601593,0.6,0.12,512,2026
299.0,-0.3800715804100036,0.0063120359554886,0.7773909568786621,0.6,0.12,512,2026
300.0,-0.3823537528514862,-0.0048306039534509,0.7725603580474854,0.6,0.12,512,2026
301.0,-0.3835201561450958,0.0146203357726335,0.7871806621551514,0.6,0.12,512,2026
302.0,-0.378025621175766,0.0102818673476576,0.797462522983551,0.6,0.12,512,2026
303.0,-0.3772949278354645,-0.0021408619359135,0.7953217029571533,0.6,0.12,512,2026
304.0,-0.3761313855648041,0.0085318842902779,0.8038535714149475,0.6,0.12,512,2026
305.0,-0.379924863576889,0.004124947823584,0.8079785108566284,0.6,0.12,512,2026
306.0,-0.3822774291038513,0.0150600234046578,0.8230385184288025,0.6,0.12,512,2026
