t,x,dx,omega,H,lambda2,L,seed
244.0,0.5357457399368286,0.026978451758623123,-0.3874385952949524,0.6,0.12,512,2026
245.0,0.5372899770736694,0.001544201630167663,-0.37768810987472534,0.6,0.12,512,2026
246.0,0.5494860410690308,0.012196073308587074,-0.3739892542362213,0.6,0.12,512,2026
247.0,0.5575267672538757,0.008040718734264374,-0.3717915415763855,0.6,0.12,512,2026
248.0,0.5583288073539734,0.0008020373061299324,-0.37315183877944946,0.6,0.12,512,2026
249.0,0.5510014295578003,-0.0073273563757538795,-0.38408026099205017,0.6,0.12,512,2026
250.0,0.5591237545013428,0.008122305385768414,-0.3854168653488159,0.6,0.12,512,2026
251.0,0.5590955018997192,-2.8211983590153977e-05,-0.3912700414657593,0.6,0.12,512,2026
252.0,0.5584567189216614,-0.0006387988105416298,-0.393791526556015,0.6,0.12,512,2026
253.0,0.5659955143928528,0.007538764271885157,-0.39166706800460815,0.6,0.12,512,2026
254.0,0.5708457827568054,0.004850291181355715,-0.39026591181755066,0.6,0.12,512,2026
255.0,0.577467143535614,0.006621335167437792,-0.38615989685058594,0.6,0.12,512,2026
256.0,0.5957121253013611,0.0182450283318758,-0.3750098943710327,0.6,0.12,512,2026
257.0,0.5999071598052979,0.004195029381662607,-0.3834887444972992,0.6,0.12,512,2026
258.0,0.6215997338294983,0.02169252745807171,-0.38391202688217163,0.6,0.12,512,2026
259.0,0.6290682554244995,0.007468563038855791,-0.3776431679725647,0.6,0.12,512,2026
260.0,0.6246480941772461,-0.004420191515237093,-0.3743877708911896,0.6,0.12,512,2026
261.0,0.6234569549560547,-0.0011911081383004785,-0.38567355275154114,0.6,0.12,512,2026
262.0,0.6326807737350464,0.00922380480915308,-0.38560065627098083,0.6,0.12,512,2026
263.0,0.6424715518951416,0.00979078933596611,-0.37293845415115356,0.6,0.12,512,2026
264.0,0.6348857879638672,-0.007585800252854824,-0.378770649433136,0.6,0.12,512,2026
265.0,0.6187699437141418,-0.016115820035338402,-0.37806767225265503,0.6,0.12,512,2026
266.0,0.6171568036079407,-0.001613111118786037,-0.38615143299102783,0.6,0.12,512,2026
267.0,0.6301149129867554,0.012958100996911526,-0.38342663645744324,0.6,0.12,512,2026
268.0,0.6334587335586548,0.003343804506585002,-0.37209513783454895,0.6,0.12,512,2026
269.0,0.6311708092689514,-0.0022879138123244047,-0.3744274377822876,0.6,0.12,512,2026
270.0,0.6396907567977905,0.008519959636032581,-0.37666192650794983,0.6,0.12,512,2026
271.0,0.6522454023361206,0.012554620392620564,-0.37324008345603943,0.6,0.12,512,2026
272.0,0.6592739820480347,0.007028564345091581,-0.3730633854866028,0.6,0.12,512,2026
273.0,0.6554368734359741,-0.003837086958810687,-0.36714136600494385,0.6,0.12,512,2026
274.0,0.6762517094612122,0.02081482671201229,-0.3777719736099243,0.6,0.12,512,2026
275.0,0.6846113801002502,0.008359648287296295,-0.38603466749191284,0.6,0.12,512,2026
276.0,0.6841399669647217,-0.0004714028036687523,-0.37701937556266785,0.6,0.12,512,2026
277.0,0.698943018913269,0.014803053811192513,-0.3692258596420288,0.6,0.12,512,2026
278.0,0.7143046259880066,0.015361601486802101,-0.371799498796463,0.6,0.12,512,2026
279.0,0.72867751121521,0.014372910372912884,-0.38363146781921387,0.6,0.12,512,2026
280.0,0.7336761355400085,0.0049986098892986774,-0.3763079345226288,0.6,0.12,512,2026
281.0,0.7279793620109558,-0.005696778651326895,-0.3884204030036926,0.6,0.12,512,2026
282.0,0.7374811768531799,0.009501851163804531,-0.3872957229614258,0.6,0.12,512,2026
283.0,0.7279722690582275,-0.009508959017693996,-0.37671563029289246,0.6,0.12,512,2026
284.0,0.7508285641670227,0.022856341674923897,-0.3778229057788849,0.6,0.12,512,2026
285.0,0.7473466992378235,-0.0034818709827959538,-0.38267284631729126,0.6,0.12,512,2026
286.0,0.7352594137191772,-0.012087306007742882,-0.37811416387557983,0.6,0.12,512,2026
287.0,0.7347351908683777,-0.0005241892649792135,-0.3759506046772003,0.6,0.12,512,2026
288.0,0.7176424860954285,-0.017092740163207054,-0.37970876693725586,0.6,0.12,512,2026
289.0,0.7184119820594788,0.0007695042295381427,-0.3833014965057373,0.6,0.12,512,2026
290.0,0.7352646589279175,0.016852688044309616,-0.37929490208625793,0.6,0.12,512,2026
291.0,0.7350494861602783,-0.00021516598644666374,-0.38443610072135925,0.6,0.12,512,2026
292.0,0.7346166372299194,-0.00043288536835461855,-0.38022083044052124,0.6,0.12,512,2026
293.0,0.7467160224914551,0.012099377810955048,-0.38336530327796936,0.6,0.12,512,2026
294.0,0.7583261132240295,0.011610135436058044,-0.3742206394672394,0.6,0.12,512,2026
295.0,0.7560192942619324,-0.002306813606992364,-0.37926623225212097,0.6,0.12,512,2026
296.0,0.7564531564712524,0.0004338421276770532,-0.36499351263046265,0.6,0.12,512,2026
297.0,0.7652173042297363,0.008764115162193775,-0.3711017370223999,0.6,0.12,512,2026
298.0,0.771078884601593,0.005861637182533741,-0.3740280568599701,0.6,0.12,512,2026
299.0,0.7773909568786621,0.006312035955488682,-0.38007158041000366,0.6,0.12,512,2026
300.0,0.7725603580474854,-0.004830603953450918,-0.3823537528514862,0.6,0.12,512,2026
