version,T,process_type,mean_p_scaling,mean_p_curved,mean_p_mrw,mean_p_mono,mean_boundary_mrw_score,mean_residual_norm,mean_mono_residual_norm,mean_gain
v3,2048,Low-lambda2 MRW,0.9998586654663086,0.5214978327353795,0.6413513064384461,0.633815985918045,0.6077468514442443,0.0382396773124734,0.0482480614135662,0.2112307623649637
v3,2048,MRW,0.9997326731681824,0.5283027820289135,0.6515452096859614,0.6249691406885783,0.6159959398210049,0.0371667352039366,0.0476194204452137,0.2194481257504473
v3,2048,Regime-switching Gaussian,0.9956316192944844,0.284375640253226,0.36414145976305,0.3743770604332288,0.2812170053521792,0.3707587033510208,0.4067651915053527,0.0886513546109199
v3,2048,Shuffled MRW,0.9999664094713,0.242111812863085,0.3632642189661662,0.7778754737642076,0.3846741322014066,0.048729381751683,0.0428691899196969,0.0
v3,2048,fGn,0.9997683299912348,0.5452956762578752,0.6689738872978422,0.6180247379673852,0.6238021287653182,0.0368845889551772,0.0488399618615706,0.2412891454632497
v3,2048,iid Gaussian,0.9999690572420756,0.2440175620218118,0.366322069366773,0.776138440767924,0.3877497951189677,0.048887575045228,0.0433271450921893,0.0
v3,2048,iid Student-t,0.995066022210651,0.2791229926877551,0.3573244588242636,0.3608454197645187,0.283035338918368,0.385254697004954,0.4147397735052638,0.0710703678429126
calibrated,256,"GARCH(1,1)",0.9968997557957968,0.3157167362670103,0.4013793244957924,0.5315565605958302,0.3228159815073013,0.1963926041110729,0.2050383656402118,
calibrated,256,Low-lambda2 MRW,0.9999698301156362,0.491932238638401,0.6162422200043997,0.59631187915802,0.4162736997008324,0.0345199540024623,0.0528764825003842,
calibrated,256,MRW,0.9999077339967092,0.4792536820595463,0.6009134819110235,0.5985447429120541,0.4235320226599773,0.0366833565756678,0.054789196292404,
calibrated,256,Regime-switching Gaussian,0.9910980959733328,0.3041998599966367,0.3546687791744868,0.3685316955049832,0.2938905358314514,0.3558269110197822,0.3691361753890911,
calibrated,256,Shuffled MRW,0.9998684717549218,0.3285474609169695,0.4491598149140676,0.7042227314578162,0.3901603809661335,0.0459850534796714,0.0509657151065766,
calibrated,256,fGn,0.9998122917281256,0.4475959339075618,0.5813393655750486,0.6118458022673925,0.4506875842809677,0.0394669133135014,0.0547657290059659,
calibrated,256,iid Gaussian,0.9999720434347787,0.2761720099796851,0.3895224293073018,0.7417393724123637,0.3635814150174459,0.037667605963846,0.040235128851297,
calibrated,256,iid Student-t,0.9885857323805493,0.2905396108826001,0.3337167263031005,0.3908038470480177,0.2984230326281653,0.3373615442206048,0.3502201314860334,
calibrated,512,"GARCH(1,1)",0.9948625048001608,0.2818471701194843,0.3553169051806132,0.4910617406169573,0.3062635491291682,0.2709239755446712,0.2815537857512633,
